[watch_tty] started at 2026-03-06T01:59:09Z
[watch_tty] waiting for ADAPT pid=3705
[watch_tty] ADAPT still running at 2026-03-06T02:18:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:18:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:19:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:19:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:19:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:20:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:20:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:20:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:21:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:21:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:21:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:22:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:22:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:22:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:23:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:23:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:23:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:24:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:24:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:24:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:25:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:25:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:25:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:26:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:26:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:26:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:27:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:27:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:27:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:28:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:28:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:28:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:29:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:29:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:29:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:30:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:30:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:30:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:31:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:31:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:31:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:32:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:32:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:32:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:33:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:33:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:33:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:34:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:34:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:34:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:35:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:35:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:35:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:36:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:36:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:36:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:37:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:37:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:37:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:38:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:38:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:38:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:39:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:39:30Z
[watch_tty] ADAPT still running at 2026-03-06T02:39:50Z
[watch_tty] ADAPT still running at 2026-03-06T02:40:10Z
[watch_tty] ADAPT still running at 2026-03-06T02:40:31Z
[watch_tty] ADAPT still running at 2026-03-06T02:40:51Z
[watch_tty] ADAPT still running at 2026-03-06T02:41:11Z
[watch_tty] ADAPT still running at 2026-03-06T02:41:31Z
[watch_tty] ADAPT still running at 2026-03-06T02:41:51Z
[watch_tty] ADAPT still running at 2026-03-06T02:42:11Z
[watch_tty] ADAPT still running at 2026-03-06T02:42:31Z
[watch_tty] ADAPT still running at 2026-03-06T02:42:51Z
[watch_tty] ADAPT still running at 2026-03-06T02:43:11Z
[watch_tty] ADAPT still running at 2026-03-06T02:43:31Z
[watch_tty] ADAPT still running at 2026-03-06T02:43:51Z
[watch_tty] ADAPT still running at 2026-03-06T02:44:11Z
[watch_tty] ADAPT still running at 2026-03-06T02:44:31Z
[watch_tty] ADAPT still running at 2026-03-06T02:44:51Z
[watch_tty] ADAPT process exited at 2026-03-06T02:45:11Z
[watch_tty] STARTED hardcoded VQE pid=60598
[watch_tty] log=artifacts/logs/l4_hh_hardcoded_vqe_from_adapt_fullmeta_static_hh_hva_ptw_20260306T024511.log
[watch_tty] json=artifacts/json/l4_hh_hardcoded_vqe_from_adapt_fullmeta_static_hh_hva_ptw_20260306T024511.json
